protocol " srcip" " dstip" " sport" " dport" " min_data_ip" " q1_data_ip" " med_data_ip" mean_data_ip q3_data_ip " max_data_ip" var_data_ip " min_data_wire" " q1_data_wire" " med_data_wire" mean_data_wire q3_data_wire " max_data_wire" var_data_wire min_data_control q1_data_control med_data_control mean_data_control q3_data_control max_data_control var_data_control total_packets ack_pkts_sent pure_acks_sent actual_data_bytes pushed_data_pkts SYN_pkts_sent FIN_pkts_sent urgent_data_pkts max_win_adv min_win_adv zero_win_adv avg_win_adv
tcp 10.0.3.15 61.48.83.77 41312 443 40 40 40 52 40 493 5198 58 58 58 70 58 511 5198 5 5 5 5 5 5 0 77 77 73 3 3 0 1 0 65320 65320 0 65320
tcp 61.48.83.77 10.0.3.15 443 41312 40 1460 1460 1277 1460 1460 180966 58 1478 1478 1295 1478 1478 180966 5 5 5 5 5 5 0 130 130 4 125 17 0 1 0 65535 65535 0 65535
tcp 10.0.3.15 61.48.83.77 44563 443 40 40 40 52 40 493 5014 58 58 58 70 58 511 5014 5 5 5 5 5 5 0 40 40 37 2 2 0 1 0 65320 65320 0 65320
tcp 61.48.83.77 10.0.3.15 443 44563 40 1460 1460 1276 1460 1460 202798 58 1478 1478 1294 1478 1478 202798 5 5 5 5 5 5 0 58 58 3 54 5 0 1 0 65535 65535 0 65535
tcp 10.0.3.15 154.8.131.171 52221 443 40 40 40 115 40 925 39462 58 58 58 133 58 943 39462 5 5 5 5 5 5 0 40 39 31 8 7 1 1 0 65320 14600 0 50896
tcp 154.8.131.171 10.0.3.15 443 52221 40 120 1460 955 120 1460 414988 58 138 1478 973 138 1478 414988 5 5 5 5 5 5 0 45 45 8 35 9 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 121.17.123.141 41622 443 40 40 40 52 77 77 304 58 40 58 70 95 95 304 5 5 5 5 5 5 0 3 3 1 1 1 0 1 0 65320 65320 0 65320
tcp 121.17.123.141 10.0.3.15 443 41622 40 40 40 40 40 40 0 58 40 58 58 58 58 0 5 5 5 5 5 5 0 3 3 2 0 0 0 1 0 65535 65535 0 65535
tcp 10.0.3.15 154.8.131.171 38842 443 40 40 40 84 40 605 17554 58 58 58 102 58 623 17554 5 5 5 5 5 5 0 24 23 18 5 4 1 1 0 58220 14600 0 35008
tcp 154.8.131.171 10.0.3.15 443 38842 40 40 1460 946 1460 1460 435836 58 40 1478 964 1478 1478 435836 5 5 5 5 5 5 0 23 23 5 16 2 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 154.8.131.171 41145 443 40 40 40 136 99 605 33270 58 40 58 154 117 623 33270 5 5 5 5 5 5 0 11 10 5 5 4 1 1 0 24140 14600 0 18936
tcp 10.0.3.15 154.8.131.171 38467 443 40 40 40 161 40 589 41775 58 58 58 179 58 607 41775 5 5 5 5 5 5 0 13 12 6 6 5 1 1 0 22720 14600 0 18129
tcp 10.0.3.15 154.8.131.171 56301 443 40 40 40 100 40 573 21813 58 58 58 118 58 591 21813 5 5 5 5 5 5 0 17 16 11 5 4 1 1 0 55380 14600 0 33970
tcp 10.0.3.15 154.8.131.171 39192 443 40 40 50 143 40 573 32730 58 58 68 161 58 591 32730 5 5 5 5 5 5 0 10 9 4 5 4 1 1 0 21300 14600 0 17563
tcp 10.0.3.15 154.8.131.171 42654 443 40 40 50 143 40 573 32730 58 58 68 161 58 591 32730 5 5 5 5 5 5 0 10 9 4 5 4 1 1 0 17241 14600 0 15940
tcp 154.8.131.171 10.0.3.15 443 41145 40 40 40 325 185 1460 289372 58 40 58 343 203 1478 289372 5 5 5 5 5 5 0 11 11 5 4 2 1 1 0 65535 65535 0 65535
tcp 154.8.131.171 10.0.3.15 443 56301 40 40 1460 831 1460 1460 446488 58 40 1478 849 1478 1478 446488 5 5 5 5 5 5 0 23 23 5 16 4 1 1 0 65535 65535 0 65535
tcp 154.8.131.171 10.0.3.15 443 38467 40 40 40 327 40 1460 235527 58 58 58 345 58 1478 235527 5 5 5 5 5 5 0 12 12 6 4 3 1 1 0 65535 65535 0 65535
tcp 154.8.131.171 10.0.3.15 443 39192 40 40 40 276 40 1460 210839 58 58 58 294 58 1478 210839 5 5 5 5 5 5 0 10 10 5 3 2 1 1 0 65535 65535 0 65535
tcp 154.8.131.171 10.0.3.15 443 42654 40 40 40 148 40 861 65615 58 58 58 166 58 879 65615 5 5 5 5 5 5 0 9 9 5 2 2 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 154.8.131.171 58476 443 40 40 50 144 40 589 34130 58 58 68 162 58 607 34130 5 5 5 5 5 5 0 10 9 4 5 4 1 1 0 21300 14600 0 17563
tcp 154.8.131.171 10.0.3.15 443 58476 40 40 40 230 40 1460 178544 58 58 58 248 58 1478 178544 5 5 5 5 5 5 0 10 10 5 3 2 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 154.8.131.171 47781 443 40 40 50 143 40 573 32730 58 58 68 161 58 591 32730 5 5 5 5 5 5 0 10 9 4 5 4 1 1 0 17835 14600 0 16177
tcp 10.0.3.15 154.8.131.171 34901 443 40 40 50 170 40 845 62792 58 58 68 188 58 863 62792 5 5 5 5 5 5 0 10 9 4 5 4 1 1 0 17016 14600 0 15850
tcp 154.8.131.171 10.0.3.15 443 47781 40 40 40 189 40 1229 137316 58 58 58 207 58 1247 137316 5 5 5 5 5 5 0 9 9 5 2 2 1 1 0 65535 65535 0 65535
tcp 154.8.131.171 10.0.3.15 443 34901 40 40 40 135 40 749 49103 58 58 58 153 58 767 49103 5 5 5 5 5 5 0 9 9 5 2 2 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 61.48.83.77 52074 443 40 40 40 53 40 445 4763 58 58 58 71 58 463 4763 5 5 5 5 5 5 0 220 219 209 10 9 1 1 0 65320 14600 0 62917
tcp 61.48.83.77 10.0.3.15 443 52074 40 1460 1460 1176 1460 1460 288052 58 1460 1478 1194 1478 1478 288052 5 5 5 5 5 5 0 415 415 10 403 83 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 154.8.131.171 52739 443 40 40 40 52 77 77 304 58 40 58 70 95 95 304 5 5 5 5 5 5 0 3 3 1 1 1 0 1 0 24140 24140 0 24140
tcp 10.0.3.15 121.17.123.141 50965 443 40 40 40 52 77 77 304 58 40 58 70 95 95 304 5 5 5 5 5 5 0 3 3 1 1 1 0 1 0 65320 65320 0 65320
tcp 154.8.131.171 10.0.3.15 443 52739 40 40 40 40 40 40 0 58 40 58 58 58 58 0 5 5 5 5 5 5 0 3 3 2 0 0 0 1 0 65535 65535 0 65535
tcp 121.17.123.141 10.0.3.15 443 50965 40 40 40 40 40 40 0 58 40 58 58 58 58 0 5 5 5 5 5 5 0 3 3 2 0 0 0 1 0 65535 65535 0 65535
udp 10.0.3.15 202.113.16.41 8924 53 65 65 65 65 65 65 0 83 65 83 83 83 83 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 10.0.3.15 121.17.123.141 56310 443 40 40 40 95 40 461 17713 58 40 58 113 58 479 17713 5 5 5 5 5 5 0 31 30 23 7 6 1 1 0 65320 14600 0 46983
udp 202.113.16.41 10.0.3.15 53 8924 367 367 367 367 367 367 0 385 367 385 385 385 385 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 121.17.123.141 10.0.3.15 443 56310 40 90 790 808 90 1460 423655 58 108 808 826 108 1478 423655 5 5 5 5 5 5 0 50 50 7 41 17 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 1.180.27.233 53268 443 40 40 40 85 40 493 11898 58 58 58 103 58 511 11898 5 5 5 5 5 5 0 18 17 12 5 4 1 1 0 53960 14600 0 31622
tcp 10.0.3.15 119.29.29.29 46945 80 40 40 40 113 40 385 18556 58 58 58 131 58 403 18556 5 5 5 5 5 5 0 5 4 2 2 1 1 1 0 15544 14600 0 14978
tcp 119.29.29.29 10.0.3.15 80 46945 40 40 40 107 40 369 17216 58 58 58 125 58 387 17216 5 5 5 5 5 5 0 5 5 2 1 1 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 61.48.83.77 55017 443 40 40 40 76 40 445 11861 58 58 58 94 58 463 11861 5 5 5 5 5 5 0 46 45 38 7 6 1 1 0 65320 14600 0 52654
tcp 61.48.83.77 10.0.3.15 443 55017 40 240 1460 1024 1460 1460 374619 58 240 1478 1042 1478 1478 374619 5 5 5 5 5 5 0 63 63 7 54 13 1 1 0 65535 65535 0 65535
tcp 1.180.27.233 10.0.3.15 443 53268 40 40 457 771 1460 1460 447251 58 40 475 789 1478 1478 447251 5 5 5 5 5 5 0 23 23 5 16 5 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 121.17.123.141 55585 443 40 40 40 56 40 461 5821 58 58 58 74 58 479 5821 5 5 5 5 5 5 0 108 107 100 7 6 1 1 0 65320 14600 0 59176
tcp 10.0.3.15 121.17.123.141 32996 443 40 40 40 55 40 461 5481 58 40 58 73 58 479 5481 5 5 5 5 5 5 0 115 114 107 7 6 1 1 0 65320 14600 0 58781
tcp 121.17.123.141 10.0.3.15 443 55585 40 341 1460 1092 341 1460 348053 58 359 1478 1110 359 1478 348053 5 5 5 5 5 5 0 181 181 7 172 43 1 1 0 65535 65535 0 65535
tcp 121.17.123.141 10.0.3.15 443 32996 40 1460 1460 1277 1460 1460 194267 58 1478 1478 1295 1478 1478 194267 5 5 5 5 5 5 0 180 180 7 171 22 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 121.17.123.141 49360 443 40 40 40 50 40 461 3638 58 58 58 68 58 479 3638 5 5 5 5 5 5 0 128 127 121 6 5 1 1 0 65320 14600 0 61267
tcp 10.0.3.15 121.17.123.141 60698 443 40 40 40 53 40 461 4677 58 58 58 71 58 479 4677 5 5 5 5 5 5 0 96 95 89 6 5 1 1 0 65320 14600 0 59916
tcp 121.17.123.141 10.0.3.15 443 60698 40 1460 1460 1209 1460 1460 259125 58 1478 1478 1227 1478 1478 259125 5 5 5 5 5 5 0 181 181 6 173 29 1 1 0 65535 65535 0 65535
tcp 121.17.123.141 10.0.3.15 443 49360 40 1460 1460 1286 1460 1460 189416 58 1460 1478 1304 1478 1478 189416 5 5 5 5 5 5 0 227 227 6 219 25 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 61.48.83.77 58605 443 40 40 40 63 40 445 7296 58 58 58 81 58 463 7296 5 5 5 5 5 5 0 37 36 31 5 4 1 1 0 65320 14600 0 50072
tcp 61.48.83.77 10.0.3.15 443 58605 40 160 1460 969 160 1460 422475 58 178 1478 987 178 1478 422475 5 5 5 5 5 5 0 52 52 5 45 12 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 61.48.83.77 45786 443 40 40 40 83 40 445 12631 58 58 58 101 58 463 12631 5 5 5 5 5 5 0 20 19 14 5 4 1 1 0 65320 14600 0 39099
tcp 61.48.83.77 10.0.3.15 443 45786 40 120 1460 886 120 1460 441608 58 138 1478 904 138 1478 441608 5 5 5 5 5 5 0 29 29 5 22 6 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 61.48.83.77 60721 443 40 40 40 51 40 445 3599 58 58 58 69 58 463 3599 5 5 5 5 5 5 0 78 77 72 5 4 1 1 0 65320 14600 0 58797
