,0
0,----------------------------------------------------------------------------------------------------
protocol " srcip" " dstip" " sport" " dport"
tcp 10.0.3.15 61.48.83.77 41312 443
tcp 61.48.83.77 10.0.3.15 443 41312
tcp 10.0.3.15 61.48.83.77 44563 443
tcp 61.48.83.77 10.0.3.15 443 44563
tcp 10.0.3.15 154.8.131.171 52221 443
tcp 154.8.131.171 10.0.3.15 443 52221
tcp 10.0.3.15 121.17.123.141 41622 443
tcp 121.17.123.141 10.0.3.15 443 41622
tcp 10.0.3.15 154.8.131.171 38842 443
tcp 154.8.131.171 10.0.3.15 443 38842
tcp 10.0.3.15 154.8.131.171 41145 443
tcp 10.0.3.15 154.8.131.171 38467 443
tcp 10.0.3.15 154.8.131.171 56301 443
tcp 10.0.3.15 154.8.131.171 39192 443
tcp 10.0.3.15 154.8.131.171 42654 443
tcp 154.8.131.171 10.0.3.15 443 41145
tcp 154.8.131.171 10.0.3.15 443 56301
tcp 154.8.131.171 10.0.3.15 443 38467
tcp 154.8.131.171 10.0.3.15 443 39192
tcp 154.8.131.171 10.0.3.15 443 42654
tcp 10.0.3.15 154.8.131.171 58476 443
tcp 154.8.131.171 10.0.3.15 443 58476
tcp 10.0.3.15 154.8.131.171 47781 443
tcp 10.0.3.15 154.8.131.171 34901 443
tcp 154.8.131.171 10.0.3.15 443 47781
tcp 154.8.131.171 10.0.3.15 443 34901
tcp 10.0.3.15 61.48.83.77 52074 443
tcp 61.48.83.77 10.0.3.15 443 52074
tcp 10.0.3.15 154.8.131.171 52739 443
tcp 10.0.3.15 121.17.123.141 50965 443
tcp 154.8.131.171 10.0.3.15 443 52739
tcp 121.17.123.141 10.0.3.15 443 50965
udp 10.0.3.15 202.113.16.41 8924 53
tcp 10.0.3.15 121.17.123.141 56310 443
udp 202.113.16.41 10.0.3.15 53 8924
tcp 121.17.123.141 10.0.3.15 443 56310
tcp 10.0.3.15 1.180.27.233 53268 443
tcp 10.0.3.15 119.29.29.29 46945 80
tcp 119.29.29.29 10.0.3.15 80 46945
tcp 10.0.3.15 61.48.83.77 55017 443
tcp 61.48.83.77 10.0.3.15 443 55017
tcp 1.180.27.233 10.0.3.15 443 53268
tcp 10.0.3.15 121.17.123.141 55585 443
tcp 10.0.3.15 121.17.123.141 32996 443
tcp 121.17.123.141 10.0.3.15 443 55585
tcp 121.17.123.141 10.0.3.15 443 32996
tcp 10.0.3.15 121.17.123.141 49360 443
tcp 10.0.3.15 121.17.123.141 60698 443
tcp 121.17.123.141 10.0.3.15 443 60698
tcp 121.17.123.141 10.0.3.15 443 49360
tcp 10.0.3.15 61.48.83.77 58605 443
tcp 61.48.83.77 10.0.3.15 443 58605
tcp 10.0.3.15 61.48.83.77 45786 443
tcp 61.48.83.77 10.0.3.15 443 45786
tcp 10.0.3.15 61.48.83.77 60721 443
tcp 10.0.3.15 61.48.83.77 52386 443
tcp 61.48.83.77 10.0.3.15 443 52386
tcp 61.48.83.77 10.0.3.15 443 60721
tcp 10.0.3.15 154.8.131.171 60287 443
tcp 10.0.3.15 154.8.131.171 38591 443
tcp 154.8.131.171 10.0.3.15 443 60287
tcp 154.8.131.171 10.0.3.15 443 38591
tcp 10.0.3.15 154.8.131.171 60257 443
tcp 154.8.131.171 10.0.3.15 443 60257
tcp 10.0.3.15 121.17.123.141 41595 443
tcp 121.17.123.141 10.0.3.15 443 41595
tcp 10.0.3.15 61.48.83.77 47157 443
tcp 10.0.3.15 61.48.83.77 44867 443
tcp 61.48.83.77 10.0.3.15 443 47157
tcp 61.48.83.77 10.0.3.15 443 44867
tcp 10.0.3.15 61.48.83.77 46443 443
tcp 61.48.83.77 10.0.3.15 443 46443
tcp 10.0.3.15 121.17.123.141 44310 443
tcp 121.17.123.141 10.0.3.15 443 44310
udp 10.0.3.15 202.113.16.41 34150 53
udp 202.113.16.41 10.0.3.15 53 34150
tcp 10.0.3.15 154.8.131.172 56780 443
tcp 154.8.131.172 10.0.3.15 443 56780
tcp 10.0.3.15 154.8.131.172 41192 443
tcp 154.8.131.172 10.0.3.15 443 41192
tcp 154.8.131.172 10.0.3.15 443 60019
tcp 10.0.3.15 154.8.131.172 60019 443
udp 10.0.3.15 202.113.16.41 62120 53
udp 202.113.16.41 10.0.3.15 53 62120
