protocol " srcip" " dstip" " sport" " dport" " min_data_ip" " q1_data_ip" " med_data_ip" mean_data_ip q3_data_ip " max_data_ip" var_data_ip " min_data_wire" " q1_data_wire" " med_data_wire" mean_data_wire q3_data_wire " max_data_wire" var_data_wire min_data_control q1_data_control med_data_control mean_data_control q3_data_control max_data_control var_data_control total_packets ack_pkts_sent pure_acks_sent actual_data_bytes pushed_data_pkts SYN_pkts_sent FIN_pkts_sent urgent_data_pkts max_win_adv min_win_adv zero_win_adv avg_win_adv
tcp 150.138.120.1 10.0.3.15 80 33608 40 60 1460 868 60 1460 474291 58 78 1478 886 78 1478 474291 5 5 5 5 5 5 0 4838 4838 1 4836 2054 0 1 0 65535 65535 0 65535
tcp 10.0.3.15 150.138.120.1 33608 80 40 40 40 40 40 40 0 58 58 58 58 58 58 0 5 5 5 5 5 5 0 2725 2725 2724 0 0 0 1 0 65320 65320 0 65320
tcp 150.138.120.1 10.0.3.15 80 56894 40 60 60 719 60 1460 475473 58 78 78 737 78 1478 475473 5 5 5 5 5 5 0 29 29 1 27 14 0 1 0 65535 65535 0 65535
tcp 10.0.3.15 150.138.120.1 56894 80 40 40 40 40 40 40 0 58 58 58 58 58 58 0 5 5 5 5 5 5 0 28 28 27 0 0 0 1 0 53960 17040 0 35500
tcp 150.138.120.1 10.0.3.15 80 50090 40 80 1460 924 80 1460 449380 58 98 1478 942 98 1478 449380 5 5 5 5 5 5 0 66 66 1 64 24 0 1 0 65535 65535 0 65535
tcp 10.0.3.15 150.138.120.1 50090 80 40 40 40 40 40 40 0 58 58 58 58 58 58 0 5 5 5 5 5 5 0 45 45 44 0 0 0 1 0 65320 17040 0 50804
tcp 10.0.3.15 183.134.99.112 45206 80 40 40 40 40 40 40 0 58 40 58 58 58 58 0 5 5 5 5 5 5 0 1 1 0 0 0 0 1 0 15544 15544 0 15544
tcp 10.0.3.15 180.149.155.35 48185 80 40 40 40 40 40 40 0 58 40 58 58 58 58 0 5 5 5 5 5 5 0 1 1 0 0 0 0 1 0 65320 65320 0 65320
tcp 183.134.99.112 10.0.3.15 80 45206 40 40 40 40 40 40 0 58 40 58 58 58 58 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 0 0 1 0
tcp 180.149.155.35 10.0.3.15 80 48185 40 40 40 40 40 40 0 58 40 58 58 58 58 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 0 0 1 0
tcp 10.0.3.15 106.39.171.84 36081 443 40 40 40 198 40 1500 150693 58 58 58 216 58 1518 150693 5 5 5 5 5 5 0 13 12 6 5 4 1 1 0 25560 14600 0 20409
tcp 10.0.3.15 106.39.169.231 46889 80 40 40 40 74 40 1500 40360 58 40 58 92 58 1518 40360 5 5 5 5 5 5 0 55 54 51 3 1 1 1 0 65320 14600 0 46708
tcp 10.0.3.15 123.151.72.19 51072 443 40 40 40 45 40 60 75 58 58 58 63 58 78 75 5 5 5 5 5 5 0 4 3 2 1 0 1 1 0 14600 14600 0 14600
udp 10.0.3.15 202.113.16.10 6566 53 62 62 62 62 62 62 0 80 62 80 80 80 80 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 106.39.171.84 10.0.3.15 443 36081 40 40 44 327 40 1460 259592 58 58 62 345 58 1478 259592 5 5 5 5 5 5 0 13 13 5 6 4 1 0 0 65535 65535 0 65535
tcp 106.39.169.231 10.0.3.15 80 46889 40 60 80 727 60 1460 485245 58 78 98 745 78 1478 485245 5 5 5 5 5 5 0 57 57 3 52 25 1 1 0 65535 65535 0 65535
udp 202.113.16.10 10.0.3.15 53 6566 431 431 431 431 431 431 0 449 431 449 449 449 449 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 123.151.72.19 10.0.3.15 443 51072 40 40 40 41 44 44 4 58 40 58 59 62 62 4 5 5 5 5 5 5 0 3 3 1 0 0 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 123.151.92.114 52076 443 40 40 40 117 77 797 36552 58 40 58 135 95 815 36552 5 5 5 5 5 5 0 15 13 8 5 4 1 0 0 27520 0 1 20505
tcp 10.0.3.15 123.151.72.19 42630 443 40 40 50 166 40 685 48762 58 58 68 184 58 703 48762 5 5 5 5 5 5 0 10 9 4 5 4 1 1 0 16616 14600 0 15690
tcp 123.151.92.114 10.0.3.15 443 52076 40 40 60 401 40 1416 301016 58 58 78 419 58 1434 301016 5 5 5 5 5 5 0 14 14 4 7 7 1 1 0 65535 0 1 60854
tcp 10.0.3.15 106.39.169.231 52281 80 40 40 40 328 40 1458 319511 58 58 58 346 58 1476 319511 5 5 5 5 5 5 0 5 4 2 2 1 1 1 0 15792 14600 0 15077
tcp 123.151.72.19 10.0.3.15 443 42630 40 40 40 82 40 253 6159 58 58 58 100 58 271 6159 5 5 5 5 5 5 0 9 9 5 2 2 1 1 0 65535 65535 0 65535
udp 10.0.3.15 202.113.16.10 44116 53 72 72 72 72 72 72 0 90 72 90 90 90 90 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
udp 202.113.16.10 10.0.3.15 53 44116 129 129 129 129 129 129 0 147 129 147 147 147 147 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 106.39.169.231 10.0.3.15 80 52281 40 40 40 172 40 698 69066 58 58 58 190 58 716 69066 5 5 5 5 5 5 0 5 5 2 1 1 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 183.134.99.106 49683 80 40 40 40 40 40 40 0 58 40 58 58 58 58 0 5 5 5 5 5 5 0 1 1 0 0 0 0 1 0 15544 15544 0 15544
tcp 183.134.99.106 10.0.3.15 80 49683 40 40 40 40 40 40 0 58 40 58 58 58 58 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 0 0 1 0
